Sale_ID,Date,Customer_Name,Product,Category,City,Quantity,Unit_Price,Total_Amount
1,2025-11-26,Priya,Laptop,Accessories,Ahmedabad,8,42684,341472
2,2024-07-27,Rahul,Keyboard,Electronics,Hyderabad,4,72573,290292
3,2024-04-03,Pooja,Laptop,Electronics,Chennai,4,2805,11220
4,2025-09-27,Rohit,Mouse,Electronics,Surat,3,51139,153417
5,2025-05-15,Pooja,Headphones,Accessories,Surat,6,32963,197778
6,2025-01-14,Anjali,Mouse,Office,Delhi,5,44715,223575
7,2024-09-05,Rohit,Keyboard,Electronics,Mumbai,8,68134,545072
8,2025-12-08,Anjali,Tablet,Office,Chennai,3,64830,194490
9,2024-02-05,Karan,Headphones,Accessories,Delhi,6,68160,408960
10,2025-11-30,Neha,Mobile,Office,Hyderabad,7,35390,247730
11,2025-04-06,Rohit,Keyboard,Accessories,Pune,1,11342,11342
12,2024-05-27,Anjali,Mobile,Office,Mumbai,7,28341,198387
13,2025-08-19,Sneha,Laptop,Accessories,Pune,6,8617,51702
14,2025-11-30,Priya,Mouse,Electronics,Pune,2,12122,24244
15,2024-07-22,Anjali,Mobile,Accessories,Bangalore,7,17003,119021
16,2025-02-12,Pooja,Mouse,Accessories,Mumbai,8,67675,541400
17,2024-01-04,Neha,Monitor,Office,Mumbai,5,75205,376025
18,2025-05-29,Sneha,Mouse,Accessories,Ahmedabad,2,76368,152736
19,2024-06-30,Karan,Keyboard,Office,Mumbai,8,40452,323616
20,2025-06-07,Karan,Mouse,Office,Mumbai,8,51935,415480
21,2025-02-21,Priya,Headphones,Electronics,Delhi,3,27790,83370
22,2024-03-10,Vikas,Mouse,Accessories,Mumbai,7,38613,270291
23,2024-11-28,Rahul,Tablet,Office,Hyderabad,4,36314,145256
24,2024-02-18,Vikas,Headphones,Electronics,Surat,4,14050,56200
25,2025-06-20,Sneha,Mobile,Office,Mumbai,9,47786,430074
26,2025-04-07,Pooja,Laptop,Accessories,Pune,7,52939,370573
27,2025-10-15,Karan,Laptop,Office,Surat,8,6249,49992
28,2024-08-02,Anjali,Printer,Electronics,Pune,10,53595,535950
29,2024-02-15,Rahul,Tablet,Office,Pune,10,50097,500970
30,2024-12-30,Vikas,Printer,Office,Hyderabad,8,71310,570480
31,2025-09-28,Karan,Monitor,Office,Ahmedabad,1,33451,33451
32,2025-07-04,Anjali,Headphones,Accessories,Ahmedabad,9,77458,697122
33,2024-12-16,Neha,Mouse,Office,Pune,8,28852,230816
34,2025-09-24,Priya,Printer,Accessories,Delhi,1,59204,59204
35,2025-05-25,Priya,Headphones,Electronics,Ahmedabad,5,57655,288275
36,2024-11-23,Karan,Mouse,Accessories,Delhi,7,76814,537698
37,2024-04-07,Sneha,Mouse,Office,Hyderabad,3,29686,89058
38,2025-07-12,Pooja,Monitor,Accessories,Hyderabad,8,77078,616624
39,2025-10-23,Sneha,Headphones,Office,Pune,9,19346,174114
40,2024-07-29,Rahul,Mobile,Accessories,Pune,5,54357,271785
41,2025-11-29,Vikas,Keyboard,Electronics,Chennai,10,62350,623500
42,2024-01-09,Priya,Keyboard,Electronics,Ahmedabad,5,57408,287040
43,2024-03-25,Rohit,Laptop,Electronics,Pune,6,6190,37140
44,2025-11-03,Karan,Laptop,Electronics,Hyderabad,1,36021,36021
45,2025-10-01,Rohit,Mobile,Accessories,Hyderabad,8,57547,460376
46,2024-10-19,Rahul,Tablet,Electronics,Chennai,3,43460,130380
47,2025-12-02,Neha,Headphones,Office,Chennai,8,50111,400888
48,2024-08-14,Pooja,Monitor,Accessories,Chennai,9,73449,661041
49,2024-07-29,Priya,Monitor,Electronics,Bangalore,1,34269,34269
50,2024-02-09,Vikas,Printer,Accessories,Bangalore,8,67723,541784
51,2025-05-24,Amit,Tablet,Office,Ahmedabad,9,10184,91656
